id,position,team,mpg,fgm,fga,fg%,ftm,fta,ft%,threepg,ppg,rpg,asg,spg,bpg,topg
G. Harris Den ," SG,SF",Den,34:22,6.6,13.6,.485,2.0,2.4,.827,2.3,17.5,2.6,2.9,1.8,0.2,1.8
J. Collins Atl ," PF,C",Atl,24:06,4.2,7.4,.576,1.8,2.5,.715,0.2,10.5,7.3,1.3,0.6,1.1,1.4
J. Allen Bkn ," PF,C",Bkn,19:57,3.3,5.5,.589,1.6,2.0,.776,0.1,8.2,5.4,0.7,0.4,1.2,1.1
M. Conley Mem , PG,Mem,31:10,5.3,14.0,.381,4.4,5.5,.803,2.0,17.1,2.3,4.1,1.0,0.3,1.5
B. Griffin Det ," PF,C",Det,33:57,7.5,17.2,.438,4.5,5.7,.785,1.9,21.4,7.4,5.8,0.7,0.3,2.8
W. Barton Den ," SG,SF",Den,33:06,5.7,12.7,.452,2.2,2.8,.805,1.9,15.7,5.0,4.1,1.0,0.6,1.8
L. Markkanen Chi , PF,Chi,29:44,5.5,12.7,.434,2.1,2.4,.843,2.1,15.2,7.5,1.2,0.6,0.6,1.2
J. Tatum Bos ," SF,PF",Bos,30:29,5.0,10.4,.475,2.7,3.2,.826,1.3,13.9,5.0,1.6,1.0,0.7,1.4
R. Covington Phi ," SF,PF",Phi,31:35,4.3,10.5,.413,1.5,1.7,.853,2.5,12.6,5.4,2.0,1.7,0.9,1.6
J. Ingles Uta ," SG,SF",Uta,31:25,4.1,8.8,.467,0.8,1.0,.795,2.5,11.5,4.2,4.8,1.1,0.2,1.9
T. Prince Atl , SF,Atl,30:04,5.1,11.9,.426,1.9,2.2,.844,2.1,14.1,4.7,2.6,1.0,0.5,2.3
J. Richardson Mia ," PG,SG",Mia,33:12,4.9,10.9,.451,1.5,1.8,.845,1.6,12.9,3.5,2.9,1.5,0.9,1.7
L. Williams LAC ," PG,SG",LAC,32:46,7.4,16.9,.435,5.5,6.2,.880,2.4,22.6,2.5,5.3,1.1,0.2,3.0
R. Rubio Uta , PG,Uta,29:13,4.5,10.7,.418,2.9,3.3,.866,1.2,13.1,4.6,5.3,1.6,0.1,2.7
P. Millsap Den ," PF,C",Den,30:04,5.3,11.4,.464,2.9,4.2,.696,1.0,14.6,6.4,2.8,1.0,1.2,1.9
N. Vucevic Orl ," PF,C",Orl,29:36,7.0,14.7,.475,1.4,1.6,.819,1.1,16.5,9.2,3.4,1.0,1.1,1.9
G. Hayward Bos ," SG,SF",Bos,5:00,1.0,2.0,.500,0.0,0.0,-,0.0,2.0,1.0,0.0,0.0,0.0,0.0
J. Teague Min , PG,Min,33:02,5.1,11.3,.446,2.9,3.4,.845,1.2,14.2,3.0,7.0,1.5,0.3,2.5
G. Dragic Mia ," PG,SG",Mia,31:40,6.5,14.3,.450,2.9,3.6,.801,1.5,17.3,4.1,4.8,0.8,0.2,2.2
L. Ball LAL , PG,LAL,34:13,3.9,10.8,.360,0.6,1.4,.451,1.7,10.2,6.9,7.2,1.7,0.8,2.6
Z. LaVine Chi ," PG,SG",Chi,27:12,5.7,14.8,.383,3.6,4.5,.813,1.8,16.7,3.9,3.0,1.0,0.2,1.8
D. Howard Was ," PF,C",Was,30:22,6.2,11.2,.555,4.1,7.2,.574,0.0,16.6,12.5,1.3,0.6,1.6,2.6
N. Mirotic NO ," SF,PF",NO,27:10,5.6,12.4,.447,2.0,2.5,.818,2.5,15.6,7.4,1.5,0.8,0.7,1.1
D. Jordan Dal , C,Dal,31:27,4.8,7.5,.645,2.4,4.1,.580,0.0,12.0,15.2,1.5,0.5,0.9,1.8
N. Batum Cha ," SG,SF",Cha,30:58,4.2,10.2,.415,1.7,2.0,.831,1.4,11.6,4.8,5.5,1.0,0.4,2.0
D. Ayton Pho , C,Pho,-,-,-,-,-,-,-,-,-,-,-,-,-,-
H. Barnes Dal ," SF,PF",Dal,34:15,7.0,15.7,.445,3.4,4.1,.827,1.5,18.9,6.1,2.0,0.6,0.2,1.5
D. Collison Ind ," PG,SG",Ind,29:16,4.6,9.2,.495,1.8,2.1,.882,1.4,12.4,2.6,5.3,1.3,0.2,1.2
T. Hardaway Jr. NY ," SG,SF",NY,33:04,6.3,15.0,.421,2.6,3.1,.816,2.3,17.5,3.9,2.7,1.1,0.2,1.6
B. Lopez Mil , C,Mil,23:27,5.0,10.7,.465,1.5,2.1,.703,1.5,13.0,4.0,1.7,0.4,1.3,1.3
K. Anderson Mem ," SG,SF",Mem,26:43,3.1,5.9,.527,1.4,2.0,.712,0.3,7.9,5.4,2.7,1.6,0.8,1.3
K. Dunn Chi ," PG,SG",Chi,29:19,5.5,12.8,.429,1.6,2.2,.737,0.8,13.4,4.3,6.0,2.0,0.5,2.9
J. Valanciunas Tor , C,Tor,22:22,5.1,8.9,.568,2.2,2.7,.806,0.4,12.7,8.6,1.1,0.4,0.9,1.5
S. Adams OKC , C,OKC,32:42,5.9,9.4,.629,2.1,3.8,.559,0.0,13.9,9.0,1.2,1.2,1.0,1.7
J. Randle NO ," PF,C",NO,26:42,6.1,11.0,.558,3.7,5.2,.718,0.1,16.1,8.0,2.6,0.5,0.5,2.6
S. Ibaka Tor ," PF,C",Tor,27:34,5.0,10.3,.483,1.2,1.6,.797,1.4,12.6,6.3,0.8,0.4,1.3,1.2
K. Kuzma LAL ," SF,PF",LAL,31:10,6.1,13.5,.450,1.9,2.7,.707,2.1,16.1,6.3,1.8,0.6,0.4,1.8
