id,position,gp,team,fgm,fga,fg%,ftm,fta,ft%,threepa,threepm,ppg,orpg,drpg,rpg,apg,spg,bpg,topg,ddpg,tdpg
K. Looney GS,"PF,C",72,GS,3.0,5.1,.599,0.9,1.5,.602,0.2,0.0,7.0,2.8,3.2,5.9,1.8,0.7,0.8,0.7,0.0,0.0
G. Dragic Mia,"PG,SG",67,MIA,5.5,12.6,.435,2.4,2.9,.802,4.8,1.7,15.0,0.6,2.6,3.2,4.8,0.9,0.1,2.1,0.0,0.0
C. Osman Cle,"SF,PF",74,CLE,5.4,12.2,.441,2.3,3.0,.763,5.1,1.8,14.8,0.6,4.3,4.9,2.8,0.9,0.1,1.6,0.0,0.0
L. Shamet LAC,PG,81,LAC,3.8,9.0,.416,1.2,1.5,.814,6.5,2.7,11.5,0.3,1.8,2.1,2.1,0.6,0.2,0.7,0.0,0.0
J. Grant Den,"SF,PF",81,DEN,4.2,8.4,.495,1.6,2.3,.689,3.0,1.1,11.0,1.0,3.3,4.3,0.8,0.6,0.9,0.7,0.0,0.0
I. Smith Was,PG,80,WAS,5.0,11.6,.432,1.5,2.1,.721,3.2,1.1,12.6,0.6,2.9,3.4,5.4,0.7,0.3,1.4,0.0,0.0
D. Garland Cle,PG,73,CLE,5.7,13.8,.411,2.1,2.5,.843,5.1,1.8,15.3,0.4,2.6,3.0,5.4,1.0,0.2,3.0,0.0,0.0
N. Noel OKC,"PF,C",76,OKC,2.2,3.9,.568,0.8,1.1,.714,0.0,0.0,5.2,1.8,2.8,4.6,0.6,1.0,1.4,0.7,0.0,0.0
B. Portis NY,"PF,C",66,NY,4.9,11.1,.444,1.7,2.2,.769,3.5,1.3,12.9,2.1,5.6,7.6,1.2,0.6,0.3,1.3,0.0,0.0
T. Prince Bkn,SF,71,BKN,4.6,10.7,.430,1.8,2.2,.823,5.4,2.1,13.1,0.4,3.4,3.8,2.2,1.0,0.4,1.9,0.0,0.0
D. Saric Pho,"PF,C",78,PHO,4.2,9.6,.440,1.8,2.0,.891,4.6,1.7,11.9,1.7,4.6,6.3,1.7,0.6,0.1,1.6,0.0,0.0
